idx,lr,epochs,dropout,layers,neurons,test_rmse,test_mae,test_r2
85,0.005,50,0.5,2,50,3.878592847,3.825562239,-35.82537772
50,0.01,100,0.5,2,100,3.878623139,3.825577378,-35.82051427
61,0.01,100,0.7,2,50,3.878607339,3.825596929,-35.83772717
242,0.0005,50,0.7,2,100,3.878583056,3.825627685,-35.97541868
134,0.005,100,0.7,2,100,3.878726681,3.825688601,-35.94517323
14,0.01,50,0.5,2,100,3.878835158,3.825693011,-35.87182445
37,0.01,100,0.2,2,50,3.878728644,3.825718164,-35.86028979
86,0.005,50,0.5,2,100,3.878778911,3.825727344,-35.81441724
96,0.005,50,0.7,2,20,3.878717448,3.825728297,-35.89831328
13,0.01,50,0.5,2,50,3.878720146,3.825734258,-35.92999248
168,0.001,50,0.7,2,20,3.878763697,3.825762272,-35.8987165
122,0.005,100,0.5,2,100,3.87883076,3.82577467,-35.81504696
244,0.0005,50,0.7,3,50,3.878765861,3.825780749,-35.93281932
38,0.01,100,0.2,2,100,3.878838977,3.825788975,-35.81464679
67,0.01,100,0.7,5,50,3.878841865,3.82580483,-35.81873935
2,0.01,50,0.2,2,100,3.878830157,3.825809717,-35.85785381
1,0.01,50,0.2,2,50,3.878853801,3.825811625,-35.82770765
173,0.001,50,0.7,3,100,3.878844252,3.825817108,-35.83300224
5,0.01,50,0.2,3,100,3.878850738,3.825823903,-35.83229637
40,0.01,100,0.2,3,50,3.87878204,3.825826168,-35.91899912
229,0.0005,50,0.5,2,50,3.878868832,3.825831532,-35.82624126
36,0.01,100,0.2,2,20,3.878955388,3.825838685,-35.94824803
35,0.01,50,0.7,7,100,3.878837113,3.825840592,-36.2228005
137,0.005,100,0.7,3,100,3.87887644,3.825846314,-35.83304832
34,0.01,50,0.7,7,50,3.878899685,3.825846553,-35.91800962
76,0.005,50,0.2,3,50,3.87887753,3.825847149,-35.87284244
77,0.005,50,0.2,3,100,3.878884713,3.825847864,-35.82038335
80,0.005,50,0.2,5,100,3.878900819,3.825849771,-35.81346345
26,0.01,50,0.7,2,100,3.878893562,3.825852156,-35.81692449
248,0.0005,50,0.7,5,100,3.8788918,3.825853348,-35.82312218
49,0.01,100,0.5,2,50,3.878907893,3.825853705,-36.042459
206,0.001,100,0.7,2,100,3.878889853,3.825853825,-35.89706009
74,0.005,50,0.2,2,100,3.878918176,3.825875282,-35.82237203
240,0.0005,50,0.7,2,20,3.878907656,3.825880766,-35.8427367
53,0.01,100,0.5,3,100,3.878912261,3.825884104,-35.8343186
65,0.01,100,0.7,3,100,3.878914035,3.825890064,-35.84236644
32,0.01,50,0.7,5,100,3.87892522,3.825894594,-35.8267728
241,0.0005,50,0.7,2,50,3.878912079,3.825899005,-35.85838487
121,0.005,100,0.5,2,50,3.878931491,3.825899124,-35.82540138
107,0.005,50,0.7,7,100,3.878899769,3.825908303,-35.90140242
104,0.005,50,0.7,5,100,3.878941754,3.825910807,-35.82546715
31,0.01,50,0.7,5,50,3.878998976,3.825931191,-35.82686949
278,0.0005,100,0.7,2,100,3.878958045,3.825932741,-35.83183702
60,0.01,100,0.7,2,20,3.87890624,3.825936079,-35.91758815
52,0.01,100,0.5,3,50,3.878997739,3.825957775,-35.95872366
110,0.005,100,0.2,2,100,3.878963274,3.82596159,-35.85613275
28,0.01,50,0.7,3,50,3.879007482,3.825967193,-35.91792491
89,0.005,50,0.5,3,100,3.878983602,3.825977921,-35.86917915
68,0.01,100,0.7,5,100,3.878946142,3.825992584,-35.88191023
143,0.005,100,0.7,7,100,3.879014273,3.826012611,-35.84865828
62,0.01,100,0.7,2,100,3.878926772,3.826029658,-35.95415357
70,0.01,100,0.7,7,50,3.87904009,3.826030016,-35.85210642
17,0.01,50,0.5,3,100,3.87907802,3.826066494,-35.84690598
8,0.01,50,0.2,5,100,3.879122951,3.826091528,-35.83269509
56,0.01,100,0.5,5,100,3.879121992,3.826096773,-35.89257347
176,0.001,50,0.7,5,100,3.879192441,3.826170325,-35.83294691
20,0.01,50,0.5,5,100,3.879204407,3.826237917,-35.89859122
113,0.005,100,0.2,3,100,3.879387866,3.826293349,-35.90769156
29,0.01,50,0.7,3,100,3.879329649,3.826414704,-36.01099438
125,0.005,100,0.5,3,100,3.87939848,3.826448679,-35.92221325
16,0.01,50,0.5,3,50,3.879575364,3.826592565,-35.86684451
158,0.001,50,0.5,2,100,3.879663046,3.826704979,-35.88423382
