idx,lr,n_estimators,max_depth,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score
49.0,0.1,10.0,2.0,0.057852315902709964,0.00020012855529785156,1.19068979695342,1.4177421925689764,0.1482196848048489
50.0,0.1,10.0,3.0,0.08607831001281738,0.0006006717681884766,1.177750033350345,1.3870951410567387,0.1636410329555375
51.0,0.1,10.0,4.0,0.10889921188354493,0.00040030479431152344,1.1733078875796046,1.3766513990565141,0.16802496900555716
52.0,0.1,10.0,5.0,0.13211989402770996,0.0006005287170410157,1.1667740568855123,1.3613616998210765,0.1773009619275508
53.0,0.1,10.0,10.0,0.23613486289978028,0.0008005619049072266,1.2112108555250882,1.467031736541816,0.1190270550784976
54.0,0.1,50.0,1.0,0.14883975982666015,0.0004002571105957031,1.1938414585609287,1.425257428178886,0.13885317976379968
55.0,0.1,50.0,2.0,0.28686060905456545,0.0008007049560546875,1.150676178641364,1.3240556680926923,0.20053149124753036
56.0,0.1,50.0,3.0,0.4251866817474365,0.0010010242462158204,1.140538233476427,1.3008274620215285,0.21163609221703372
57.0,0.1,50.0,4.0,0.5490512847900391,0.0008004188537597656,1.1461423877581203,1.3136423730158853,0.20755124998849542
58.0,0.1,50.0,5.0,0.6812195301055908,0.0010007381439208984,1.1578031858155418,1.340508217084618,0.1870199630289795
59.0,0.1,50.0,10.0,1.212278413772583,0.001401233673095703,1.2376374559248788,1.5317464723082062,0.07919484593251629
60.0,0.1,100.0,1.0,0.30187487602233887,0.0004004001617431641,1.1938728881657592,1.4253324730972512,0.13636978687168874
61.0,0.1,100.0,2.0,0.5757431030273438,0.0008008956909179687,1.1535469980493833,1.3306706767087437,0.19665795965874439
62.0,0.1,100.0,3.0,0.8442343235015869,0.0009917736053466797,1.1510964195455327,1.325022967090545,0.19662054358486059
63.0,0.1,100.0,4.0,1.1024601459503174,0.001001119613647461,1.1520812283235835,1.3272911566555772,0.19981615673001668
64.0,0.1,100.0,5.0,1.3528411388397217,0.0011996746063232422,1.1666505008632222,1.3610733911644073,0.17459762144106455
65.0,0.1,100.0,10.0,2.4438178539276123,0.0026026248931884767,1.2374259147864497,1.5312228945850819,0.0795691050693873
66.0,0.1,200.0,1.0,0.5982312679290771,0.0009027481079101563,1.1945300029984776,1.4269019280635429,0.13336595110390656
67.0,0.1,200.0,2.0,1.1720275402069091,0.0010004997253417968,1.1720013017768762,1.3735870513666923,0.17031579265911562
68.0,0.1,200.0,3.0,1.7007243156433105,0.0016013145446777343,1.1616095361949115,1.3493367145789572,0.18089575342848369
69.0,0.1,200.0,4.0,2.207509231567383,0.0016015052795410156,1.1593708258372206,1.344140711802479,0.1901752368004716
70.0,0.1,200.0,5.0,2.7073285579681396,0.0018016338348388673,1.1672826923772253,1.362548883923424,0.17381762623228528
71.0,0.1,200.0,10.0,4.913135528564453,0.0044039726257324215,1.2375673987589482,1.5315730664709897,0.07933203442707253
72.0,0.1,500.0,1.0,1.4964858055114747,0.0010010242462158204,1.203572925068266,1.4485877859573821,0.11925121370805063
73.0,0.1,500.0,2.0,2.893698883056641,0.001801919937133789,1.1909112363847143,1.4182695729473687,0.14335222364722786
