idx,C,gamma,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score,max_features,n_estimators
77.0,,,0.6908269882202148,0.005405044555664063,0.5313851669410713,0.2823701956449902,0.28448801769867,22.0,50.0
78.0,,,0.7210547924041748,0.006005287170410156,0.5338868495207488,0.28503516809119067,0.27756020289971434,23.0,50.0
79.0,,,0.7516824722290039,0.005605173110961914,0.5314757628443144,0.28246648649094597,0.2842425690948557,24.0,50.0
80.0,,,0.769302225112915,0.005805253982543945,0.535871229677395,0.28715797479596344,0.2723303115738199,25.0,50.0
81.0,,,0.8142874717712403,0.006806278228759765,0.5357580245807323,0.2870366609026485,0.2726570154394114,26.0,50.0
82.0,,,0.8488186359405517,0.005805158615112304,0.5365223791893813,0.28785626337103426,0.2706732770690117,27.0,50.0
83.0,,,0.8621594429016113,0.005603790283203125,0.5348096248715554,0.2860213348552537,0.2749820661121115,28.0,50.0
84.0,,,0.17156028747558594,0.01100473403930664,0.5494439737284433,0.3018886802665023,0.23563496183508986,1.0,100.0
85.0,,,0.23280878067016603,0.010609769821166992,0.5414584906085655,0.29317729705210605,0.25741016332391087,2.0,100.0
86.0,,,0.2908639430999756,0.010809898376464844,0.5360081547877883,0.2873047419990096,0.2720623054371504,3.0,100.0
87.0,,,0.3465145111083984,0.011210203170776367,0.5353933113925997,0.2866459978839332,0.2737891393850891,4.0,100.0
88.0,,,0.41799201965332033,0.011210298538208008,0.5343612716343488,0.2855419686226782,0.2767247549275584,5.0,100.0
89.0,,,0.48523988723754885,0.012010955810546875,0.5356117733559752,0.28687997175753255,0.2731446948958156,6.0,100.0
90.0,,,0.5410908699035645,0.010609674453735351,0.5323332877558261,0.2833787292529271,0.2821234045275646,7.0,100.0
91.0,,,0.5997446060180665,0.011410331726074219,0.5315130257927989,0.28250609658741654,0.28425237162682626,8.0,100.0
92.0,,,0.645808744430542,0.010587739944458007,0.5327496852130096,0.2838222270945608,0.2809088948077127,9.0,100.0
93.0,,,0.7132474899291992,0.010810089111328126,0.5325723185075589,0.2836332744405168,0.28128633442003836,10.0,100.0
94.0,,,0.7887292385101319,0.01060953140258789,0.5311099435907786,0.28207777218099994,0.285269396477854,11.0,100.0
95.0,,,0.821201753616333,0.01081223487854004,0.5287026225245104,0.27952646306429496,0.29151318299090284,12.0,100.0
96.0,,,0.8759638786315918,0.010809755325317383,0.5292874025781658,0.2801451545279413,0.29012061700035685,13.0,100.0
97.0,,,0.9389397621154785,0.011201429367065429,0.5308808837944459,0.2818345127783719,0.285779071073512,14.0,100.0
98.0,,,0.9836113929748536,0.011009597778320312,0.5307981114063112,0.28174663507250675,0.28603416596973996,15.0,100.0
99.0,,,1.045351505279541,0.011610698699951173,0.5343616733798703,0.28554239797733516,0.27638203071931555,16.0,100.0
100.0,,,1.1237252235412598,0.010409927368164063,0.5320499729512768,0.2830771737174543,0.28271261229599165,17.0,100.0
101.0,,,1.1581715583801269,0.011426401138305665,0.5318341915984247,0.2828476073531499,0.2830491454872704,18.0,100.0
102.0,,,1.2210540771484375,0.010599231719970703,0.5298572000052149,0.2807486523973663,0.2884395843992678,19.0,100.0
103.0,,,1.2780901432037353,0.01141042709350586,0.52982631071482,0.28071591952567704,0.2884970167313365,20.0,100.0
104.0,,,1.3392184734344483,0.010009241104125977,0.5335933124822749,0.28472182312580674,0.27836109686710026,21.0,100.0
105.0,,,1.4173917770385742,0.010208988189697265,0.5274226035804624,0.27817460276759365,0.2949878388554631,22.0,100.0
106.0,,,1.4756614685058593,0.010409688949584961,0.5314030958369965,0.28238925026514416,0.2842048478983166,23.0,100.0
107.0,,,1.5450623512268067,0.01280522346496582,0.5304953813451178,0.2814253496285019,0.28683086913109174,24.0,100.0
108.0,,,1.5607967853546143,0.010396528244018554,0.5340370587900494,0.2851955801611266,0.27725651638784754,25.0,100.0
109.0,,,1.6450955867767334,0.010209035873413087,0.5342269715860155,0.28539845716996537,0.27671211780215477,26.0,100.0
110.0,,,1.6901382446289062,0.010409784317016602,0.5306358414107611,0.2815743961897065,0.2861441652202783,27.0,100.0
111.0,,,1.7407054424285888,0.010022735595703125,0.5305577160623509,0.2814914900732982,0.28672269050793053,28.0,100.0
112.0,,,0.3393599033355713,0.02142620086669922,0.5460313887419521,0.29815027749146483,0.24490977075475903,1.0,200.0
113.0,,,0.46466889381408694,0.02081904411315918,0.5387844128167668,0.29028864349430816,0.26475307226177736,2.0,200.0
114.0,,,0.5905428409576416,0.019820451736450195,0.5358402548157469,0.2871247786810046,0.27263047438121046,3.0,200.0
115.0,,,0.7014089107513428,0.020018291473388673,0.5335265953799766,0.2846506279777493,0.2789159113217363,4.0,200.0
116.0,,,0.8308613777160645,0.020418548583984376,0.5322693142570832,0.28331062289970566,0.2822729365900726,5.0,200.0
117.0,,,0.9548672199249267,0.020218658447265624,0.5319545935054669,0.2829756895515666,0.2830757808320456,6.0,200.0
118.0,,,1.0602671146392821,0.020018339157104492,0.5308244098474096,0.28177455408985075,0.28606213062674224,7.0,200.0
119.0,,,1.1838517665863038,0.021620655059814455,0.5323184044301389,0.2833628836950489,0.2820203783923342,8.0,200.0
120.0,,,1.301975917816162,0.020317602157592773,0.5297277493084194,0.2806114883873636,0.2890585051941555,9.0,200.0
121.0,,,1.4248085498809815,0.020019960403442384,0.5308054613755255,0.28175443782608456,0.2861851018318644,10.0,200.0
122.0,,,1.5117886066436768,0.020218372344970703,0.526961012933655,0.27768790915206376,0.29631051455950236,11.0,200.0
123.0,,,1.6481103897094727,0.020418453216552734,0.5291765484359099,0.28002781941454286,0.2904720227417007,12.0,200.0
124.0,,,1.7518533229827882,0.020633172988891602,0.531036186204006,0.28199943105809583,0.28543198257256375,13.0,200.0
125.0,,,1.9001018524169921,0.020218563079833985,0.5302250185861715,0.281138570334706,0.28757740537053744,14.0,200.0
126.0,,,1.993088722229004,0.020011758804321288,0.5296446483173809,0.2805234534912421,0.2891722039496779,15.0,200.0
127.0,,,2.0985095500946045,0.021419334411621093,0.5291948667515634,0.2800472069962049,0.2903477291583457,16.0,200.0
128.0,,,2.2259528636932373,0.02001810073852539,0.5292153500247417,0.28006888670180996,0.29025175233869377,17.0,200.0
129.0,,,2.359040641784668,0.020018339157104492,0.5303438268981007,0.2812645747289225,0.28725894857121376,18.0,200.0
130.0,,,2.465314483642578,0.02040276527404785,0.5292245104235973,0.2800785824330963,0.29022379066227005,19.0,200.0
131.0,,,2.5805819511413572,0.020618486404418945,0.5297351957953518,0.28061937766433964,0.2888405093695603,20.0,200.0
132.0,,,2.7010575771331786,0.019817829132080078,0.5308285265310063,0.2817789245790793,0.2859301844585101,21.0,200.0
133.0,,,2.787969779968262,0.02051234245300293,0.52853480998651,0.2793490453674763,0.2920992845237302,22.0,200.0
134.0,,,2.9258657932281493,0.020020103454589842,0.5288562104499296,0.27968889133146024,0.29120847119209603,23.0,200.0
135.0,,,3.0606204509735107,0.020219993591308594,0.5297792695311738,0.28066607442498415,0.28863037141130143,24.0,200.0
136.0,,,3.160186290740967,0.02001805305480957,0.5297467410916673,0.280631609697242,0.2887201335173943,25.0,200.0
137.0,,,3.2448011875152587,0.019824695587158204,0.5298929759704025,0.28078656598276963,0.2884277325460591,26.0,200.0
138.0,,,3.3762744903564452,0.021019363403320314,0.5309880422951695,0.28194830106045676,0.28535553599136276,27.0,200.0
139.0,,,3.472051429748535,0.019617557525634766,0.5303539699559695,0.28127533344805744,0.28715387892193844,28.0,200.0
140.0,,,0.8875973224639893,0.04938220977783203,0.5449594822562931,0.296980837301047,0.24791148769006374,1.0,500.0
141.0,,,1.1590512275695801,0.05284805297851562,0.5379775298125212,0.2894198225831822,0.2669978379443605,2.0,500.0
142.0,,,1.5044905185699462,0.05004525184631348,0.5337417700460749,0.2848802770919171,0.2783546251635019,3.0,500.0
143.0,,,1.8510879516601562,0.05124645233154297,0.5310709684093096,0.2820363734872019,0.2855291087143853,4.0,500.0
144.0,,,2.1133299350738524,0.050045442581176755,0.5316662946715929,0.282669048889821,0.28385211333254035,5.0,500.0
145.0,,,2.406491231918335,0.0494448184967041,0.530964002670832,0.28192277213223127,0.2856927641089955,6.0,500.0
146.0,,,2.6662224769592284,0.04944491386413574,0.5287156707509107,0.2795402604975855,0.2918577574067066,7.0,500.0
147.0,,,3.0077771663665773,0.04884705543518066,0.5299514457460984,0.2808485348483799,0.2884266224899422,8.0,500.0
148.0,,,3.287296485900879,0.049244928359985354,0.5296664109609267,0.2805465069002293,0.28913673839663845,9.0,500.0
149.0,,,3.5897772789001463,0.0492156982421875,0.530366117558929,0.2812882186545317,0.28723296833000567,10.0,500.0
150.0,,,3.8933419704437258,0.04864416122436523,0.5284711609591048,0.2792817679654641,0.29227939087438815,11.0,500.0
151.0,,,4.176095247268677,0.04929008483886719,0.5284760034250858,0.2792868861961513,0.29225076883990636,12.0,500.0
152.0,,,4.462973260879517,0.04849233627319336,0.5287534199162364,0.2795801790731158,0.2914960248878334,13.0,500.0
153.0,,,4.723724317550659,0.05064191818237305,0.527507463773491,0.27826412433674097,0.29491776670615477,14.0,500.0
154.0,,,5.08598747253418,0.0490455150604248,0.5281296295014148,0.2789209055573017,0.2931974207563067,15.0,500.0
155.0,,,5.431791734695435,0.05224742889404297,0.5291301208171664,0.279978684755989,0.2905139187250577,16.0,500.0
156.0,,,5.698948001861572,0.05044589042663574,0.5278719314206105,0.27864877598172577,0.29385843863883077,17.0,500.0
157.0,,,6.0990562915802,0.05084667205810547,0.5277347116997069,0.27850392593277273,0.2941988266221733,18.0,500.0
158.0,,,6.2740234375,0.04924454689025879,0.5289930874534507,0.27983368657353425,0.2907719710983761,19.0,500.0
159.0,,,6.566935110092163,0.051784610748291014,0.5283550055866425,0.279159011928461,0.2924674403268467,20.0,500.0
160.0,,,6.96496000289917,0.05039992332458496,0.5294929962785093,0.28036283310799354,0.2895019564251854,21.0,500.0
161.0,,,7.220374298095703,0.04944462776184082,0.5289841077861477,0.27982418629030675,0.2908702750801906,22.0,500.0
162.0,,,7.608989620208741,0.05004539489746094,0.5296481042997065,0.2805271143882728,0.2890203567407245,23.0,500.0
163.0,,,7.870943832397461,0.049444580078125,0.528269363701827,0.2790685206259332,0.29272775631323444,24.0,500.0
164.0,,,8.082212829589844,0.04794807434082031,0.5287276367511622,0.2795529138644689,0.29148492361539835,25.0,500.0
165.0,,,8.121721601486206,0.04844379425048828,0.5289751216508944,0.2798146793255786,0.29075961844511733,26.0,500.0
166.0,,,8.589987421035767,0.04804372787475586,0.5289304594424971,0.279767430926051,0.29097338141907486,27.0,500.0
167.0,,,8.778575992584228,0.05204792022705078,0.5281603238213068,0.27895332765902775,0.293057347490177,28.0,500.0
168.0,,,1.7072930335998535,0.10069131851196289,0.5453343772881821,0.2973895830522894,0.24688704322540148,1.0,1000.0
169.0,,,2.3696549415588377,0.10069026947021484,0.5375998678633368,0.28901361792667724,0.26798564205894826,2.0,1000.0
170.0,,,2.9575761795043944,0.09768896102905274,0.5340738513369399,0.28523487868187175,0.2774987953043385,3.0,1000.0
171.0,,,3.603607702255249,0.09814300537109374,0.5315798450798204,0.2825771316950858,0.2841205393824951,4.0,1000.0
172.0,,,4.189431428909302,0.09888982772827148,0.5312129939295729,0.28218724491962044,0.2851671566485893,5.0,1000.0
173.0,,,4.8274085998535154,0.09721145629882813,0.5299036564781812,0.2807978851489462,0.2885785493566301,6.0,1000.0
174.0,,,5.3498533248901365,0.09719314575195312,0.5294977027292451,0.280367817195548,0.2896699083811714,7.0,1000.0
175.0,,,5.973223114013672,0.09580731391906738,0.5298581064241318,0.28074961294336653,0.2886782991027244,8.0,1000.0
