idx,lr,n_estimators,max_depth,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score,eta,min_child_weight,subsample
,,,2,32.44119763,0.029003763,161.7353669,26158.32891,0.575853087,0.1,1,0.7
,,,2,26.25169849,0.027799177,161.7507909,26163.31836,0.57578743,0.2,2,0.7
,,,2,27.45441651,0.024801207,161.7459935,26161.76641,0.575769962,0.1,5,0.9
,,,10,180.2490933,0.089800072,161.767713,26168.79297,0.575678687,0.01,5,1
,,,6,85.99951138,0.051002407,161.7671178,26168.60039,0.575618461,0.1,5,1
,,,2,27.93710952,0.026403427,161.7851959,26174.44961,0.575509455,0.2,2,0.9
,,,10,181.7750064,0.104198694,161.8048654,26180.81445,0.5754583,0.01,4,1
,,,6,87.73789363,0.041000128,161.802188,26179.94805,0.575442434,0.1,4,1
,,,2,27.64401631,0.038201094,161.8121669,26183.17734,0.575392488,0.2,5,0.9
,,,2,24.66374784,0.029802942,161.810914,26182.77188,0.575382643,0.2,4,0.6
,,,2,26.89030695,0.032201815,161.8255318,26187.50273,0.575360019,0.2,5,0.8
,,,2,29.0197032,0.028201151,161.8437928,26193.41328,0.575232638,0.2,1,0.9
,,,2,26.47844787,0.025202942,161.8722345,26202.62031,0.57509227,0.2,4,0.7
,,,2,25.1240417,0.024406624,161.9007774,26211.86172,0.574971686,0.2,5,0.6
,,,6,88.07801256,0.048401833,161.8982464,26211.04219,0.57495074,0.1,2,1
,,,6,81.70757499,0.0495996,161.8978797,26210.92344,0.574941944,0.1,3,0.7
,,,10,154.4515677,0.107201099,161.907697,26214.10234,0.574865979,0.05,2,0.6
,,,2,25.9535954,0.028003073,161.9296493,26221.21133,0.574787931,0.2,3,0.7
,,,2,26.96000986,0.027000189,161.9404103,26224.69648,0.574772604,0.2,4,0.8
,,,10,182.4245254,0.13040514,161.9428851,26225.49805,0.574714594,0.01,3,1
,,,2,26.48643236,0.030001974,161.9678776,26233.59336,0.574634338,0.2,2,0.8
,,,2,27.06158381,0.026801252,161.9842428,26238.89492,0.574477066,0.2,3,0.8
,,,10,184.4408012,0.170800257,161.9819049,26238.1375,0.574466486,0.01,1,1
,,,10,196.4195845,0.150601816,161.9961528,26242.75352,0.574448336,0.05,4,0.6
,,,2,32.04479761,0.024600935,162.0070878,26246.29648,0.574420881,0.2,1,0.8
,,,10,183.7812814,0.111201,161.9988884,26243.63984,0.574404001,0.01,2,1
,,,2,24.80177994,0.032601929,162.0308094,26253.9832,0.574206961,0.2,2,0.6
,,,2,26.07342191,0.02400136,162.0644548,26264.8875,0.574110075,0.2,5,0.7
,,,10,149.9393089,0.12299881,162.0894634,26272.99414,0.573867002,0.05,1,0.6
,,,2,33.25299582,0.035002375,162.1170042,26281.92305,0.573825767,0.2,1,0.7
,,,6,78.94320841,0.05040164,162.1373465,26288.51914,0.573705835,0.1,1,0.6
,,,2,27.69361706,0.02640214,162.1469097,26291.62031,0.573658064,0.1,5,1
,,,8,140.0304296,0.075609446,162.1296115,26286.01094,0.573646964,0.1,2,0.9
,,,2,27.56024632,0.028801155,162.1576032,26295.08828,0.573607672,0.1,4,1
,,,6,86.20402012,0.045202017,162.160029,26295.875,0.573549045,0.1,2,0.9
,,,2,27.66733856,0.025803232,162.1917955,26306.17852,0.573434719,0.1,2,1
,,,2,27.591817,0.025602198,162.2032808,26309.9043,0.573360603,0.1,3,1
,,,2,27.82569156,0.038000345,162.2099503,26312.06797,0.573322741,0.3,2,1
,,,6,83.84425769,0.05520072,162.1895243,26305.4418,0.573312512,0.1,4,0.8
,,,10,145.7284281,0.104004002,162.2148315,26313.65156,0.573289999,0.05,5,0.6
,,,2,28.05967116,0.026402569,162.2291312,26318.29102,0.573227389,0.1,1,1
,,,10,147.5909929,0.10100112,162.2396255,26321.69609,0.573190536,0.05,3,0.6
,,,6,82.75793395,0.057201576,162.264364,26329.72383,0.57300779,0.1,4,0.7
,,,6,105.7467379,0.046000433,162.2604833,26328.46445,0.57298583,0.1,5,0.7
,,,2,27.84461966,0.037602282,162.2776315,26334.02969,0.572941803,0.3,5,1
,,,6,81.74822731,0.037803411,162.2734611,26332.67617,0.572925748,0.1,1,0.7
,,,2,27.54015684,0.027799273,162.2845892,26336.28789,0.572827194,0.3,4,1
,,,10,167.4489275,0.105718374,162.3062342,26343.31367,0.572760826,0.05,2,1
,,,2,28.28805852,0.029802132,162.3098744,26344.49531,0.572746331,0.3,1,1
,,,2,28.21460872,0.024401522,162.320272,26347.8707,0.572678524,0.3,3,1
,,,6,87.61916351,0.048800707,162.3494314,26357.33789,0.5726069,0.1,3,1
,,,8,124.0655635,0.057401848,162.3939846,26371.80625,0.572378707,0.1,4,0.9
,,,2,27.63253245,0.033401775,162.4656166,26395.07656,0.572016895,0.3,3,0.9
,,,2,33.54039707,0.024802732,162.466553,26395.38086,0.571991989,0.05,1,0.7
,,,2,25.80154219,0.025403547,162.4681243,26395.89141,0.571985524,0.05,4,0.7
,,,2,25.8108531,0.023801422,162.4694719,26396.3293,0.571978774,0.05,2,0.7
,,,2,25.81591725,0.02660327,162.4712054,26396.89258,0.571960874,0.05,5,0.7
