WKT,fid,id,left,top,right,bottom,AGB
POINT (293561.8479 637890.5522),181,181,293561.8479,637890.5522,293861.8479,638190.5522,276
POINT (293561.8479 637590.5522),182,182,293561.8479,637590.5522,293861.8479,637890.5522,19
POINT (293561.8479 637290.5522),183,183,293561.8479,637290.5522,293861.8479,637590.5522,36
POINT (293561.8479 636990.5522),184,184,293561.8479,636990.5522,293861.8479,637290.5522,46
POINT (293561.8479 636690.5522),185,185,293561.8479,636690.5522,293861.8479,636990.5522,32
POINT (293561.8479 636390.5522),186,186,293561.8479,636390.5522,293861.8479,636690.5522,18
POINT (293561.8479 636090.5522),187,187,293561.8479,636090.5522,293861.8479,636390.5522,101
POINT (293561.8479 635790.5522),188,188,293561.8479,635790.5522,293861.8479,636090.5522,91
POINT (293561.8479 635490.5522),189,189,293561.8479,635490.5522,293861.8479,635790.5522,91
POINT (293561.8479 635190.5522),190,190,293561.8479,635190.5522,293861.8479,635490.5522,68
POINT (293561.8479 634890.5522),191,191,293561.8479,634890.5522,293861.8479,635190.5522,165
POINT (293561.8479 634590.5522),192,192,293561.8479,634590.5522,293861.8479,634890.5522,208
POINT (293561.8479 634290.5522),193,193,293561.8479,634290.5522,293861.8479,634590.5522,160
POINT (293561.8479 633990.5522),194,194,293561.8479,633990.5522,293861.8479,634290.5522,73
POINT (293561.8479 633690.5522),195,195,293561.8479,633690.5522,293861.8479,633990.5522,108
POINT (293561.8479 633390.5522),196,196,293561.8479,633390.5522,293861.8479,633690.5522,34
POINT (293561.8479 633090.5522),197,197,293561.8479,633090.5522,293861.8479,633390.5522,73
POINT (293561.8479 632790.5522),198,198,293561.8479,632790.5522,293861.8479,633090.5522,61
POINT (293561.8479 632490.5522),199,199,293561.8479,632490.5522,293861.8479,632790.5522,51
POINT (293561.8479 632190.5522),200,200,293561.8479,632190.5522,293861.8479,632490.5522,20
POINT (293561.8479 631890.5522),201,201,293561.8479,631890.5522,293861.8479,632190.5522,49
POINT (293561.8479 631590.5522),202,202,293561.8479,631590.5522,293861.8479,631890.5522,125
POINT (293561.8479 631290.5522),203,203,293561.8479,631290.5522,293861.8479,631590.5522,50
POINT (293561.8479 630990.5522),204,204,293561.8479,630990.5522,293861.8479,631290.5522,17
POINT (293561.8479 630690.5522),205,205,293561.8479,630690.5522,293861.8479,630990.5522,17
POINT (293561.8479 630390.5522),206,206,293561.8479,630390.5522,293861.8479,630690.5522,45
POINT (293561.8479 630090.5522),207,207,293561.8479,630090.5522,293861.8479,630390.5522,32
POINT (293561.8479 629790.5522),208,208,293561.8479,629790.5522,293861.8479,630090.5522,98
POINT (293561.8479 629490.5522),209,209,293561.8479,629490.5522,293861.8479,629790.5522,98
POINT (293561.8479 629190.5522),210,210,293561.8479,629190.5522,293861.8479,629490.5522,39
POINT (293561.8479 628890.5522),211,211,293561.8479,628890.5522,293861.8479,629190.5522,98
POINT (293561.8479 628590.5522),212,212,293561.8479,628590.5522,293861.8479,628890.5522,239
POINT (293561.8479 628290.5522),213,213,293561.8479,628290.5522,293861.8479,628590.5522,51
POINT (293561.8479 627990.5522),214,214,293561.8479,627990.5522,293861.8479,628290.5522,98
POINT (293561.8479 627690.5522),215,215,293561.8479,627690.5522,293861.8479,627990.5522,19
POINT (293561.8479 627390.5522),216,216,293561.8479,627390.5522,293861.8479,627690.5522,20
POINT (293561.8479 627090.5522),217,217,293561.8479,627090.5522,293861.8479,627390.5522,20
POINT (293561.8479 626790.5522),218,218,293561.8479,626790.5522,293861.8479,627090.5522,47
POINT (293561.8479 626490.5522),219,219,293561.8479,626490.5522,293861.8479,626790.5522,81
POINT (293561.8479 626190.5522),220,220,293561.8479,626190.5522,293861.8479,626490.5522,20
POINT (293561.8479 625890.5522),221,221,293561.8479,625890.5522,293861.8479,626190.5522,78
POINT (293561.8479 625590.5522),222,222,293561.8479,625590.5522,293861.8479,625890.5522,78
POINT (293561.8479 625290.5522),223,223,293561.8479,625290.5522,293861.8479,625590.5522,103
POINT (293561.8479 624990.5522),224,224,293561.8479,624990.5522,293861.8479,625290.5522,104
POINT (293561.8479 624690.5522),225,225,293561.8479,624690.5522,293861.8479,624990.5522,19
POINT (293561.8479 624390.5522),226,226,293561.8479,624390.5522,293861.8479,624690.5522,20
POINT (293561.8479 624090.5522),227,227,293561.8479,624090.5522,293861.8479,624390.5522,342
POINT (293561.8479 623790.5522),228,228,293561.8479,623790.5522,293861.8479,624090.5522,104
POINT (293561.8479 623490.5522),229,229,293561.8479,623490.5522,293861.8479,623790.5522,50
POINT (293561.8479 623190.5522),230,230,293561.8479,623190.5522,293861.8479,623490.5522,648
POINT (293561.8479 622890.5522),231,231,293561.8479,622890.5522,293861.8479,623190.5522,211
POINT (293561.8479 622590.5522),232,232,293561.8479,622590.5522,293861.8479,622890.5522,153
POINT (293561.8479 622290.5522),233,233,293561.8479,622290.5522,293861.8479,622590.5522,175
POINT (293561.8479 621990.5522),234,234,293561.8479,621990.5522,293861.8479,622290.5522,103
POINT (293561.8479 621690.5522),235,235,293561.8479,621690.5522,293861.8479,621990.5522,24
POINT (293561.8479 621390.5522),236,236,293561.8479,621390.5522,293861.8479,621690.5522,99
POINT (293561.8479 621090.5522),237,237,293561.8479,621090.5522,293861.8479,621390.5522,127
POINT (293561.8479 620790.5522),238,238,293561.8479,620790.5522,293861.8479,621090.5522,47
POINT (293561.8479 620490.5522),239,239,293561.8479,620490.5522,293861.8479,620790.5522,49
POINT (293561.8479 620190.5522),240,240,293561.8479,620190.5522,293861.8479,620490.5522,18
POINT (293561.8479 619890.5522),241,241,293561.8479,619890.5522,293861.8479,620190.5522,42
POINT (293561.8479 619590.5522),242,242,293561.8479,619590.5522,293861.8479,619890.5522,62
POINT (293561.8479 619290.5522),243,243,293561.8479,619290.5522,293861.8479,619590.5522,16
POINT (293561.8479 618990.5522),244,244,293561.8479,618990.5522,293861.8479,619290.5522,23
POINT (293561.8479 618690.5522),245,245,293561.8479,618690.5522,293861.8479,618990.5522,19
POINT (293561.8479 618390.5522),246,246,293561.8479,618390.5522,293861.8479,618690.5522,17
POINT (293561.8479 618090.5522),247,247,293561.8479,618090.5522,293861.8479,618390.5522,16
POINT (293561.8479 617790.5522),248,248,293561.8479,617790.5522,293861.8479,618090.5522,59
POINT (293561.8479 617490.5522),249,249,293561.8479,617490.5522,293861.8479,617790.5522,122
POINT (293561.8479 617190.5522),250,250,293561.8479,617190.5522,293861.8479,617490.5522,73
POINT (293561.8479 616890.5522),251,251,293561.8479,616890.5522,293861.8479,617190.5522,107
POINT (293561.8479 616590.5522),252,252,293561.8479,616590.5522,293861.8479,616890.5522,155
POINT (293561.8479 616290.5522),253,253,293561.8479,616290.5522,293861.8479,616590.5522,121
POINT (293561.8479 615990.5522),254,254,293561.8479,615990.5522,293861.8479,616290.5522,19
POINT (293561.8479 615690.5522),255,255,293561.8479,615690.5522,293861.8479,615990.5522,17
POINT (293561.8479 615390.5522),256,256,293561.8479,615390.5522,293861.8479,615690.5522,17
POINT (293561.8479 615090.5522),257,257,293561.8479,615090.5522,293861.8479,615390.5522,16
POINT (293561.8479 614790.5522),258,258,293561.8479,614790.5522,293861.8479,615090.5522,16
POINT (293561.8479 614490.5522),259,259,293561.8479,614490.5522,293861.8479,614790.5522,17
POINT (293561.8479 614190.5522),260,260,293561.8479,614190.5522,293861.8479,614490.5522,17
POINT (293561.8479 613890.5522),261,261,293561.8479,613890.5522,293861.8479,614190.5522,20
POINT (293561.8479 613590.5522),262,262,293561.8479,613590.5522,293861.8479,613890.5522,83
POINT (293861.8479 652590.5522),263,263,293861.8479,652590.5522,294161.8479,652890.5522,
POINT (293861.8479 652290.5522),264,264,293861.8479,652290.5522,294161.8479,652590.5522,432
POINT (293861.8479 651990.5522),265,265,293861.8479,651990.5522,294161.8479,652290.5522,130
POINT (293861.8479 651690.5522),266,266,293861.8479,651690.5522,294161.8479,651990.5522,88
POINT (293861.8479 651390.5522),267,267,293861.8479,651390.5522,294161.8479,651690.5522,51
POINT (293861.8479 651090.5522),268,268,293861.8479,651090.5522,294161.8479,651390.5522,75
POINT (293861.8479 650790.5522),269,269,293861.8479,650790.5522,294161.8479,651090.5522,108
POINT (293861.8479 650490.5522),270,270,293861.8479,650490.5522,294161.8479,650790.5522,133
POINT (293861.8479 650190.5522),271,271,293861.8479,650190.5522,294161.8479,650490.5522,118
POINT (293861.8479 649890.5522),272,272,293861.8479,649890.5522,294161.8479,650190.5522,147
POINT (293861.8479 649590.5522),273,273,293861.8479,649590.5522,294161.8479,649890.5522,38
POINT (293861.8479 649290.5522),274,274,293861.8479,649290.5522,294161.8479,649590.5522,89
POINT (293861.8479 648990.5522),275,275,293861.8479,648990.5522,294161.8479,649290.5522,33
POINT (293861.8479 648690.5522),276,276,293861.8479,648690.5522,294161.8479,648990.5522,55
POINT (293861.8479 648390.5522),277,277,293861.8479,648390.5522,294161.8479,648690.5522,62
POINT (293861.8479 648090.5522),278,278,293861.8479,648090.5522,294161.8479,648390.5522,93
POINT (293861.8479 647790.5522),279,279,293861.8479,647790.5522,294161.8479,648090.5522,113
POINT (293861.8479 647490.5522),280,280,293861.8479,647490.5522,294161.8479,647790.5522,50
POINT (293861.8479 647190.5522),281,281,293861.8479,647190.5522,294161.8479,647490.5522,61
POINT (293861.8479 646890.5522),282,282,293861.8479,646890.5522,294161.8479,647190.5522,78
POINT (293861.8479 646590.5522),283,283,293861.8479,646590.5522,294161.8479,646890.5522,325
POINT (293861.8479 646290.5522),284,284,293861.8479,646290.5522,294161.8479,646590.5522,113
POINT (293861.8479 645990.5522),285,285,293861.8479,645990.5522,294161.8479,646290.5522,129
POINT (293861.8479 645690.5522),286,286,293861.8479,645690.5522,294161.8479,645990.5522,129
POINT (293861.8479 645390.5522),287,287,293861.8479,645390.5522,294161.8479,645690.5522,457
POINT (293861.8479 645090.5522),288,288,293861.8479,645090.5522,294161.8479,645390.5522,98
POINT (293861.8479 644790.5522),289,289,293861.8479,644790.5522,294161.8479,645090.5522,127
POINT (293861.8479 644490.5522),290,290,293861.8479,644490.5522,294161.8479,644790.5522,21
POINT (293861.8479 644190.5522),291,291,293861.8479,644190.5522,294161.8479,644490.5522,161
POINT (293861.8479 643890.5522),292,292,293861.8479,643890.5522,294161.8479,644190.5522,95
POINT (293861.8479 643590.5522),293,293,293861.8479,643590.5522,294161.8479,643890.5522,128
POINT (293861.8479 643290.5522),294,294,293861.8479,643290.5522,294161.8479,643590.5522,83
POINT (293861.8479 642990.5522),295,295,293861.8479,642990.5522,294161.8479,643290.5522,93
POINT (293861.8479 642690.5522),296,296,293861.8479,642690.5522,294161.8479,642990.5522,112
POINT (293861.8479 642390.5522),297,297,293861.8479,642390.5522,294161.8479,642690.5522,166
POINT (293861.8479 642090.5522),298,298,293861.8479,642090.5522,294161.8479,642390.5522,90
POINT (293861.8479 641790.5522),299,299,293861.8479,641790.5522,294161.8479,642090.5522,197
POINT (293861.8479 641490.5522),300,300,293861.8479,641490.5522,294161.8479,641790.5522,361
POINT (293861.8479 641190.5522),301,301,293861.8479,641190.5522,294161.8479,641490.5522,327
POINT (293861.8479 640890.5522),302,302,293861.8479,640890.5522,294161.8479,641190.5522,105
POINT (293861.8479 640590.5522),303,303,293861.8479,640590.5522,294161.8479,640890.5522,106
POINT (293861.8479 640290.5522),304,304,293861.8479,640290.5522,294161.8479,640590.5522,27
POINT (293861.8479 639990.5522),305,305,293861.8479,639990.5522,294161.8479,640290.5522,30
