fid,OBJECTID_1,OBJECTID,CATEGORY,IFT_IOA,COUNTRY,Shape_Leng,Area_ha,Shape__Are,Shape__Len
"701","21390","45737",Woodland,Assumed woodland,Scotland,1397.28466676,4.7091870676,47091.8706665039,1397.28466675341
"702","21392","45739",Woodland,Assumed woodland,Scotland,387.568740398,0.6920198586,6920.19860839844,387.568740396727
"703","21393","45740",Woodland,Assumed woodland,Scotland,251.554674025,0.2038637555,2038.63752746582,251.554674023052
"704","21394","45741",Woodland,Assumed woodland,Scotland,918.610636676,4.3359549288,43359.5492553711,918.610636673865
"705","21395","45742",Woodland,Assumed woodland,Scotland,475.052570482,0.7264823824,7264.82383728027,475.052570484108
"706","21396","45743",Woodland,Assumed woodland,Scotland,587.042989102,2.10371498395,21037.149810791,587.042989102009
"707","21399","45746",Woodland,Assumed woodland,Scotland,509.87184279,1.0796518961,10796.5189971924,509.871842790348
"708","21402","45749",Woodland,Assumed woodland,Scotland,760.115930592,1.4281705106,14281.7050628662,760.115930592516
"709","21406","45753",Woodland,Assumed woodland,Scotland,1471.94758445,4.4222663126,44222.6647644043,1471.93203935731
"710","21409","45756",Woodland,Assumed woodland,Scotland,258.843239043,0.3296247236,3296.24722290039,258.84323903927
"711","21410","45757",Woodland,Assumed woodland,Scotland,2872.3500271,9.6212330874,96212.3309631348,2872.35002710474
"712","21414","45761",Woodland,Assumed woodland,Scotland,438.727864415,0.8374871609,8374.87161254883,438.727864414104
"713","21421","45768",Woodland,Assumed woodland,Scotland,1021.08988836,2.06989958695,20698.995803833,1021.08988835795
"714","21424","45771",Woodland,Assumed woodland,Scotland,770.761050082,2.759129268,27591.2926635742,770.761050081859
"715","21425","45772",Woodland,Assumed woodland,Scotland,981.743879276,3.59883296875,35988.3297119141,981.743879275752
"716","21427","45774",Woodland,Assumed woodland,Scotland,682.970434178,2.2697771382,22697.7713928223,682.970434176788
"717","21428","45775",Woodland,Assumed woodland,Scotland,410.161337314,0.5111430763,5111.43072509766,410.161337312194
"718","21433","45780",Woodland,Assumed woodland,Scotland,531.744015076,0.5193930313,5193.93031311035,531.744015076348
"719","21436","45783",Woodland,Assumed woodland,Scotland,603.339911339,0.69144293265,6914.42938232422,603.339911339966
"720","21437","45784",Woodland,Assumed woodland,Scotland,2460.69776686,10.38471211,103847.121154785,2460.69776685782
"721","21438","45785",Woodland,Assumed woodland,Scotland,343.159166595,0.3392814829,3392.81481933594,343.159166596094
"722","21439","45786",Woodland,Assumed woodland,Scotland,801.240409314,3.47273024055,34727.3023986816,801.240409314249
"723","21444","45791",Woodland,Assumed woodland,Scotland,843.071666416,4.4667093194,44667.0932159424,843.071666415982
"724","21447","45794",Woodland,Assumed woodland,Scotland,243.19420645,0.28119229875,2811.92303466797,243.194206450415
"725","21449","45796",Woodland,Assumed woodland,Scotland,213.593258945,0.2081890134,2081.89012145996,213.593258944924
"726","21451","45798",Woodland,Assumed woodland,Scotland,549.292960302,1.37096736645,13709.6736907959,549.292960303002
"727","21452","45799",Woodland,Assumed woodland,Scotland,891.554398975,4.55949768875,45594.976852417,891.554398974223
"728","21455","45802",Woodland,Assumed woodland,Scotland,597.30769563,1.4344835409,14344.83543396,597.307695633163
"729","21456","45803",Woodland,Assumed woodland,Scotland,445.198587863,1.19689008005,11968.9007873535,445.198587864148
