fid,id,left,top,right,bottom,OC,BAND_11,BAND_12,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,DEM_ELEV,DEM_CS,DEM_LSF,DEM_SLOPE,DEM_TWI
"3215","3215",13.79,46.44,13.81,46.46,253.582595825195,0.175269886851311,0.0701378881931305,0.0720353201031685,0.0637326091527939,0.0356448888778687,0.0748127475380898,0.280685633420944,0.37148118019104,0.350728780031204,0.405550539493561,1197.06359863281,1.57077753543854,36.9850120544434,89.9988708496094,0
"3216","3216",13.79,46.42,13.81,46.44,286.414672851563,0.20880788564682,0.156128495931625,0.1390780210495,0.136407673358917,0.135194376111031,0.14009727537632,0.17330501973629,0.189754396677017,0.21630796790123,0.222466558218002,1814.40563964844,1.57078611850739,36.9527778625488,89.9996643066406,0
"3217","3217",13.79,46.4,13.81,46.42,318.086883544922,0.131922155618668,0.0711216107010841,0.0755604580044746,0.0656044334173203,0.0451244935393333,0.0771311745047569,0.170972213149071,0.203373178839684,0.210411265492439,0.226471856236458,1759.15075683594,1.57078146934509,36.9609069824219,89.9994354248047,0
"3218","3218",13.79,46.38,13.81,46.4,347.701873779297,0.187448173761368,0.0873978585004807,0.0809039175510406,0.0788861662149429,0.0463643409311771,0.0956771895289421,0.238010793924332,0.296918630599976,0.302758157253265,0.325858533382416,893.425598144531,1.57078242301941,37.0366516113281,89.9972076416016,0
"3219","3219",13.79,46.36,13.81,46.38,374.427459716797,0.27002739906311,0.181184560060501,0.118600964546204,0.116120688617229,0.10587914288044,0.157850056886673,0.229124620556831,0.258302301168442,0.245045945048332,0.291164845228195,1925.83239746094,1.57076144218445,36.9809494018555,89.9989547729492,0
"3220","3220",13.79,46.34,13.81,46.36,398.061126708984,0.275040686130524,0.202355533838272,0.11443679779768,0.100460149347782,0.104378946125507,0.160202041268349,0.192974492907524,0.207508459687233,0.128024131059647,0.211626991629601,2199.10205078125,1.57075917720795,36.9847412109375,89.9988098144531,0
"3221","3221",13.79,46.32,13.81,46.34,417.881591796875,0.16143611073494,0.0816139206290245,0.078346848487854,0.0725298002362251,0.049457386136055,0.0859486982226372,0.224902167916298,0.266694128513336,0.271040797233582,0.298203110694885,1864.69213867188,1.57075560092926,37.0682258605957,89.9958114624023,0
"3222","3222",13.79,46.3,13.81,46.32,432.976928710938,0.117677606642246,0.0517162419855595,0.0694620385766029,0.058432050049305,0.0345245897769928,0.0642397478222847,0.18266673386097,0.224986284971237,0.213471978902817,0.248616918921471,1392.87744140625,1.57074725627899,37.5621795654297,89.9649887084961,0
"3223","3223",13.79,46.28,13.81,46.3,441.513397216797,0.133741796016693,0.0559559911489487,0.0708750486373901,0.0590551123023033,0.0347924195230007,0.0640829503536224,0.197587087750435,0.25426584482193,0.257039248943329,0.280577600002289,1374.4736328125,1.57076478004456,37.0082778930664,89.9982376098633,0
"3224","3224",13.79,46.26,13.81,46.28,422.851684570313,0.154584109783173,0.0704494044184685,0.0813555493950844,0.0815195515751839,0.0505067333579063,0.0889309048652649,0.267755031585693,0.325201094150543,0.351390063762665,0.346097737550735,1582.02868652344,1.57076215744019,37.0234146118164,89.997444152832,0
