fid,OBJECTID_1,OBJECTID,CATEGORY,IFT_IOA,COUNTRY,Shape_Leng,Area_ha,Shape__Are,Shape__Len,x_coord,y_coord,satellite1,satellite2
"950","23357","47704",Woodland,Assumed woodland,Scotland,338.773851068,0.5565661827,5565.66180419922,338.773851069,276794.016033,661392.604888,-0.0183870866894722,-0.0451883114874363
"951","23361","47708",Woodland,Assumed woodland,Scotland,526.050863156,0.80559200425,8055.92007446289,526.050863158227,275068.904197,661354.095825,0.049472700804472,-0.0159078352153301
"952","23362","47709",Woodland,Assumed woodland,Scotland,3592.88015362,7.85545039045,78554.5038299561,3592.8801536162,289522.968497,661260.320077,-0.0328374579548836,-0.0537983551621437
"953","23364","47711",Woodland,Assumed woodland,Scotland,686.816525144,0.8744404805,8744.40481567383,686.816525144631,296069.812755,661397.416992,0.0124554764479399,-0.0115753673017025
"954","23368","47715",Woodland,Assumed woodland,Scotland,537.602190807,0.8077275845,8077.27583312988,537.602190808795,251273.203502,661417.377585,0.138617470860481,-0.0530874580144882
"955","23371","47718",Woodland,Assumed woodland,Scotland,387.370783459,0.50038888015,5003.88883972168,387.37078345726,297896.939306,661429.589955,0.314374476671219,0.0185303222388029
"956","23373","47720",Woodland,Assumed woodland,Scotland,400.400606666,0.39341037355,3934.10372924805,400.400606665269,288550.039185,661447.792866,0.0875329524278641,0.0650354325771332
"957","23376","47723",Woodland,Assumed woodland,Scotland,2278.14481158,6.9237428532,69237.4284820557,2278.14481157506,292061.781393,661208.112147,-0.0548803471028805,-0.0442670956254005
"958","23378","47725",Woodland,Assumed woodland,Scotland,1849.89178471,3.1420428439,31420.4284667969,1849.89178470745,309229.963467,661412.640231,-0.0717843845486641,-0.0557178035378456
"959","23380","47727",Woodland,Assumed woodland,Scotland,2765.62774653,8.2439187375,82439.1873016357,2765.62774653541,291782.727289,661184.186248,0.0134110320359468,-0.0337603725492954
"960","23381","47728",Woodland,Assumed woodland,Scotland,330.808107031,0.50889393325,5088.93937683105,330.808107028808,324593.33204,661553.773502,0.232042253017426,-0.00900356564670801
"961","23382","47729",Woodland,Assumed woodland,Scotland,644.956780307,0.95801503755,9580.15032958984,644.956780306591,295679.488986,661570.540021,-0.0399651564657688,0.00366448424756527
"962","23384","47731",Woodland,Assumed woodland,Scotland,361.662813211,0.6670007726,6670.00773620605,361.662813210075,298312.099168,661571.785241,-0.0335598289966583,-0.00587505055591464
"963","23388","47735",Woodland,Assumed woodland,Scotland,2972.44839105,13.7703477323,137703.477279663,2972.44839104517,290166.946916,661303.184728,0.0499192550778389,0.00933735258877277
"964","23389","47736",Woodland,Assumed woodland,Scotland,620.162059817,0.72463141795,7246.3141784668,620.162059816026,296170.11493,661589.553676,0.0239573493599892,-0.0502905771136284
"965","23390","47737",Woodland,Assumed woodland,Scotland,387.167431464,0.3472547037,3472.5470123291,387.167431464021,306071.250014,661618.517801,0.0352081432938576,-0.0113593880087137
"966","23392","47739",Woodland,Assumed woodland,Scotland,1549.90861363,5.00381909891,50038.1903381348,1549.88925128333,293789.783395,661496.250878,-0.0696090534329414,-0.0640744343400002
"967","23394","47741",Woodland,Assumed woodland,Scotland,207.245338732,0.228572603,2285.72607421875,207.245338729447,264539.636467,661680.253186,0.105719424784184,-0.0107768196612597
"968","23398","47745",Woodland,Assumed woodland,Scotland,297.400674312,0.5006739887,5006.73991394043,297.400674310238,302234.672806,661710.702199,-0.00999447889626026,-0.0651775896549225
"969","23402","47749",Woodland,Assumed woodland,Scotland,802.78497041,1.28217261705,12821.7261505127,802.784970408867,329477.065418,661687.008837,-0.0415071062743664,-0.0660192221403122
"970","23404","47751",Woodland,Assumed woodland,Scotland,1154.26231841,2.5988779852,25988.7799072266,1154.26231841244,291827.411331,661685.732515,0.0608487352728844,-0.000950194895267487
"971","23405","47752",Woodland,Assumed woodland,Scotland,848.517077164,1.7715592301,17715.5923919678,848.51707716403,296663.629932,661675.895281,0.0930544137954712,0.0103906653821468
"972","23410","47757",Woodland,Assumed woodland,Scotland,445.88992636,0.52604894965,5260.48956298828,445.889926362086,302188.88682,661825.528515,0.00667741475626826,-0.0301353577524424
"973","23411","47758",Woodland,Assumed woodland,Scotland,726.889567906,2.32049820905,23204.9821166992,726.889567900315,301953.948707,661780.359325,0.0887597054243088,0.000467892357846722
"974","23413","47760",Woodland,Assumed woodland,Scotland,905.3967963,4.4654385082,44654.3851623535,905.396796299267,250496.181339,661806.186489,0.146097764372826,-0.00276429415680468
"975","23414","47761",Woodland,Assumed woodland,Scotland,479.680595246,0.620216697103,6202.16700744629,479.663182657834,287497.915499,661834.885045,-0.0509100221097469,-0.0160479303449392
"976","23417","47764",Woodland,Assumed woodland,Scotland,699.246319758,1.40080671135,14008.0671081543,699.246319759798,252535.389618,661881.708394,0.301373064517975,-0.0261815413832664
"977","23420","47767",Woodland,Assumed woodland,Scotland,673.171260368,1.007890007,10078.9000854492,673.171260368575,310525.145988,661818.631884,-0.0474833957850933,-0.0163696352392435
"978","23425","47772",Woodland,Assumed woodland,Scotland,291.534401617,0.2687790878,2687.79084777832,291.534401617849,265654.324195,661977.899417,0.0789678171277046,0.0421315841376781
"979","23429","47776",Woodland,Assumed woodland,Scotland,983.947259,3.3716260865,33716.2608184814,983.947259000924,293733.477304,661879.872128,0.0512212887406349,-0.0394893325865269
"980","23430","47777",Woodland,Assumed woodland,Scotland,804.395082955,1.13922811295,11392.2808227539,804.395082954627,260322.736841,661953.180049,0.057831596583128,0.090075321495533
"981","23433","47780",Woodland,Assumed woodland,Scotland,4186.8459989,23.5404106675,235404.106582642,4186.84599889454,312373.913102,661734.218978,-0.075486496090889,-0.0456076674163342
"982","23435","47782",Woodland,Assumed woodland,Scotland,901.409567764,1.3568302173,13568.302230835,901.40956776571,260483.637596,662076.283566,0.0750288441777229,0.0645129010081291
"983","23436","47783",Woodland,Assumed woodland,Scotland,888.859246598,1.873344309,18733.4430999756,888.859246598025,287397.981393,662059.595633,-0.0749001055955887,-0.0489579699933529
"984","23438","47785",Woodland,Assumed woodland,Scotland,659.829645225,2.2459508128,22459.5081329346,659.829645225296,250648.333797,662085.307375,0.024488739669323,0.00328345270827413
"985","23439","47786",Woodland,Assumed woodland,Scotland,776.743374427,1.37944227135,13794.4227294922,776.743374429286,307666.322512,662039.971881,0.125795677304268,0.0208115987479687
"986","23441","47788",Woodland,Assumed woodland,Scotland,462.237463358,0.59658922655,5965.89234924316,462.237463357311,302290.202367,662147.16251,-0.0771651566028595,-0.0614364333450794
"987","23442","47789",Woodland,Assumed woodland,Scotland,1389.8452213,3.47262469925,34726.2470092773,1389.84522129905,295439.31695,661938.316587,-0.0663433447480202,-0.0757845863699913
"988","23447","47794",Woodland,Assumed woodland,Scotland,722.290176805,1.1388957848,11388.9578552246,722.290176804246,310401.32707,662145.886839,-0.0221145953983068,-0.0509902574121952
"989","23448","47795",Woodland,Assumed woodland,Scotland,1105.18444737,1.6692600827,16692.6008300781,1105.18444736401,294125.314241,662179.507268,0.00948220677673817,-0.00113317603245378
"990","23451","47798",Woodland,Assumed woodland,Scotland,375.836944675,0.3410052391,3410.05238342285,375.836944675521,308359.58419,662374.632311,-0.0811419785022736,-0.0620814599096775
"991","23453","47800",Woodland,Assumed woodland,Scotland,636.724750494,2.2023233758,22023.2337799072,636.724750493221,265735.594771,662344.816842,0.0115876086056232,-0.0313189029693604
"992","23454","47801",Woodland,Assumed woodland,Scotland,1138.48999148,2.87364338522,28736.4347381592,1138.44915002339,267221.314115,662355.799699,0.122943766415119,0.0172841008752584
"993","23456","47803",Woodland,Assumed woodland,Scotland,527.473857212,1.0071435125,10071.4351348877,527.473857212008,329682.986525,662395.701532,-0.035027701407671,-0.0524641945958138
"994","23459","47806",Woodland,Assumed woodland,Scotland,746.487318204,2.06309102135,20630.9102172852,746.487318204675,294483.493725,662441.184984,0.0188066717237234,-0.0481235422194004
"995","23461","47808",Woodland,Assumed woodland,Scotland,442.587760847,0.5610610846,5610.61088562012,442.587760848901,302481.968639,662457.480466,0.0595004707574844,-0.00761006353422999
"996","23467","47814",Woodland,Assumed woodland,Scotland,1670.15788546,10.7534727887,107534.727844238,1670.15788546503,313058.330674,662337.869296,0.00664860242977738,-0.0352431908249855
"997","23468","47815",Woodland,Assumed woodland,Scotland,598.555073149,1.38000077739,13800.0083618164,598.492999948569,267352.34005,662523.795752,0.0182352848351002,0.00253282813355327
"998","23469","47816",Woodland,Assumed woodland,Scotland,672.97107645,1.97562463885,19756.2464141846,672.971076449159,308385.383483,662525.192545,-0.103456541895866,-0.0720932632684708
"999","23470","47817",Woodland,Assumed woodland,Scotland,417.820622267,0.472407166951,4724.07167053223,417.820622268228,289116.151162,662638.73842,0.024617550894618,-0.0227415077388287
