idx,n_estimators,max_features,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score
88.0,400.0,5.0,1.7757625579833984,0.041437530517578126,0.5528749996054885,0.30567076518876884,0.22596963206977777
89.0,400.0,6.0,2.0003511905670166,0.04163799285888672,0.5497714671164524,0.3022486660553765,0.23473519928711858
90.0,400.0,7.0,2.249914455413818,0.04163074493408203,0.5436681263852248,0.2955750316472207,0.2515623546481674
91.0,400.0,8.0,2.4870142459869387,0.04183783531188965,0.5413000268275446,0.29300571904350053,0.25799786556923354
92.0,400.0,9.0,2.7624890327453615,0.041938161849975585,0.5396249977787781,0.2911951382277463,0.2624981077663837
93.0,400.0,10.0,2.989547777175903,0.04424023628234863,0.5392069493408806,0.29074413421749906,0.2637084611506096
94.0,400.0,11.0,3.3208970546722414,0.04299030303955078,0.5356891975957931,0.2869629164208247,0.27311318141783686
95.0,400.0,12.0,3.587888717651367,0.04323945045471191,0.5343628922331092,0.2855437005957334,0.2767666811051098
96.0,400.0,13.0,3.73707275390625,0.0440406322479248,0.5331191579241701,0.28421603654577615,0.27998375107829016
97.0,400.0,14.0,4.080908012390137,0.04764847755432129,0.5321720250381472,0.2832070642332024,0.2826328114553326
98.0,400.0,15.0,4.259221935272217,0.0448030948638916,0.531848815897726,0.2828631629718133,0.2833143043720029
99.0,400.0,16.0,4.496209669113159,0.04534916877746582,0.5302983461617086,0.28121633594184325,0.28758085285215174
100.0,400.0,17.0,4.817449331283569,0.04484047889709473,0.5295122638032246,0.2803832375180157,0.28966484909402535
101.0,400.0,18.0,4.997142267227173,0.04604220390319824,0.529525990477167,0.2803977745908247,0.28953284954718084
102.0,400.0,19.0,5.170375776290894,0.044686412811279295,0.5290759002557908,0.27992130823147543,0.29074337152711605
103.0,400.0,20.0,5.433880996704102,0.04584217071533203,0.5292350603811767,0.28008974913666773,0.2903395656684943
104.0,400.0,21.0,5.715738534927368,0.04504132270812988,0.5277091879874043,0.2784769870863256,0.29434340431733463
105.0,400.0,22.0,5.955462169647217,0.045042228698730466,0.5283591768663397,0.27916341977887604,0.2927540936294661
106.0,400.0,23.0,6.190249347686768,0.04684286117553711,0.5289847131939199,0.2798248267928537,0.29096792490037016
107.0,400.0,24.0,6.428150606155396,0.04704294204711914,0.5291656145018212,0.28001624757109006,0.29042656758211144
108.0,400.0,25.0,6.618544006347657,0.04544157981872558,0.5280316389571107,0.2788174117397325,0.2935094024191067
109.0,400.0,26.0,6.910728836059571,0.04704318046569824,0.5281254285231892,0.27891646825280225,0.2930699161974976
110.0,400.0,27.0,7.088450145721436,0.047245121002197264,0.5288092092031768,0.27963917973808916,0.2912922234678162
111.0,400.0,28.0,7.287057542800904,0.045441722869873045,0.5296992354320563,0.280581280017305,0.2889215977596938
112.0,500.0,1.0,0.9177458763122559,0.049839353561401366,0.6056036408804021,0.36675576984759906,0.0714781476418441
113.0,500.0,2.0,1.3363298416137694,0.056451272964477536,0.5836438850820761,0.34064018459369966,0.13753254030095102
114.0,500.0,3.0,1.6997365474700927,0.052659034729003906,0.5700208018647893,0.32492371455857744,0.17733349661265213
115.0,500.0,4.0,2.0064634799957277,0.05102839469909668,0.5598972099067687,0.3134848856613842,0.20636705168332878
116.0,500.0,5.0,2.3152099609375,0.051846885681152345,0.5524658766534261,0.30521854486643857,0.2272300125725232
117.0,500.0,6.0,2.618440341949463,0.054462528228759764,0.5490090581471416,0.30141094592761153,0.23681874984547108
118.0,500.0,7.0,2.958574151992798,0.05326037406921387,0.5449064373224923,0.2969230254354912,0.2480974457483336
119.0,500.0,8.0,3.3181267738342286,0.05284881591796875,0.5424728763400821,0.29427682156468205,0.2547140099211179
120.0,500.0,9.0,3.4567990779876707,0.052572774887084964,0.539455996011692,0.29101277163296674,0.26309533055169626
121.0,500.0,10.0,3.753395748138428,0.05364880561828613,0.5374571729527124,0.28886021275832185,0.26842862732419376
122.0,500.0,11.0,4.195200681686401,0.05224728584289551,0.5356629805827293,0.28693482876677345,0.2732856608009468
123.0,500.0,12.0,4.246511077880859,0.05538687705993652,0.5337112939217278,0.2848477452596049,0.27853349245401376
124.0,500.0,13.0,4.62992787361145,0.05795221328735352,0.5332345388554659,0.28433907342840137,0.2797441130258808
125.0,500.0,14.0,4.887520694732666,0.05324873924255371,0.533047059319913,0.2841391674496069,0.28027215973660013
126.0,500.0,15.0,5.184111022949219,0.054449605941772464,0.5317104293673982,0.2827159806980629,0.283821748840235
127.0,500.0,16.0,5.453518295288086,0.05545034408569336,0.5312443791504324,0.28222059037892844,0.2849101539096903
128.0,500.0,17.0,5.826138544082641,0.054049205780029294,0.5304614555820231,0.28138935585819863,0.28713691649546663
129.0,500.0,18.0,6.116164970397949,0.05424928665161133,0.5289079344959918,0.27974360317281644,0.29120923430442025
130.0,500.0,19.0,6.403288841247559,0.05739879608154297,0.5288716828646144,0.27970525693604925,0.2913332721451492
131.0,500.0,20.0,6.710640478134155,0.05525021553039551,0.528055950945405,0.278843087328856,0.29354223273440494
132.0,500.0,21.0,6.9634805679321286,0.05505003929138184,0.5272708407196598,0.27801453947321686,0.2955227014082193
133.0,500.0,22.0,7.144806957244873,0.055850648880004884,0.5278338580689492,0.27860858172395164,0.29399962316293377
134.0,500.0,23.0,7.52209210395813,0.05525016784667969,0.5277422587115606,0.2785118916299797,0.2942849100924464
135.0,500.0,24.0,7.72769455909729,0.05725207328796387,0.5281695463901898,0.27896306973401885,0.29310546583529773
136.0,500.0,25.0,8.040678119659423,0.056452703475952146,0.5284682107526751,0.2792786497761338,0.2923375047111128
137.0,500.0,26.0,8.295942306518555,0.05664505958557129,0.5285790063333465,0.279395765936348,0.29188647094207365
138.0,500.0,27.0,8.618734169006348,0.055851078033447264,0.5280646838862364,0.2788523103678707,0.2933696497586074
139.0,500.0,28.0,8.761317920684814,0.05805273056030273,0.52945142574875,0.28031881222738414,0.2895553829317924
