idx,n_components,max_iter,scale,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score
132,17,500,True,0.004603672027587891,0.0006007194519042969,0.5837523964484646,0.34076686035932535,0.13905317602268535
133,17,500,False,0.004002523422241211,0.0008009910583496094,0.7000040252586238,0.49000563537827607,-0.23551832468331774
134,17,1000,True,0.004203701019287109,0.0006005764007568359,0.5837523964484646,0.34076686035932535,0.13905317602268535
135,17,1000,False,0.004203224182128906,0.0006008148193359375,0.7000040252586238,0.49000563537827607,-0.23551832468331774
136,18,50,True,0.005204534530639649,0.0004004001617431641,0.5984358563223757,0.3581254741322951,0.09669440596526584
137,18,50,False,0.004403591156005859,0.000600433349609375,0.6475333504608178,0.4192994399590123,-0.0556033407582462
138,18,100,True,0.004403352737426758,0.0006006240844726562,0.5984358563223757,0.3581254741322951,0.09669440596526584
139,18,100,False,0.00420379638671875,0.0004004001617431641,0.6475333504608178,0.4192994399590123,-0.0556033407582462
140,18,500,True,0.004604244232177734,0.0006005287170410157,0.5984358563223757,0.3581254741322951,0.09669440596526584
141,18,500,False,0.004403591156005859,0.00020017623901367188,0.6475333504608178,0.4192994399590123,-0.0556033407582462
142,18,1000,True,0.005004358291625976,0.00020012855529785156,0.5984358563223757,0.3581254741322951,0.09669440596526584
143,18,1000,False,0.004404020309448242,0.00040073394775390624,0.6475333504608178,0.4192994399590123,-0.0556033407582462
144,19,50,True,0.005004501342773438,0.00020003318786621094,0.6326387489514439,0.40023178667484804,-0.007345601193011175
145,19,50,False,0.00500340461730957,0.0006010532379150391,0.6245023699954629,0.39000321012995015,0.019240201483667674
146,19,100,True,0.0052048683166503905,0.0004002571105957031,0.6326387489514439,0.40023178667484804,-0.007345601193011175
147,19,100,False,0.004603815078735351,0.0008011817932128906,0.6245023699954629,0.39000321012995015,0.019240201483667674
148,19,500,True,0.004804134368896484,0.0008006095886230469,0.6326387489514439,0.40023178667484804,-0.007345601193011175
149,19,500,False,0.004604625701904297,0.0008008003234863282,0.6245023699954629,0.39000321012995015,0.019240201483667674
150,19,1000,True,0.004804849624633789,0.0006004810333251953,0.6326387489514439,0.40023178667484804,-0.007345601193011175
151,19,1000,False,0.006605768203735351,0.0008008956909179687,0.6245023699954629,0.39000321012995015,0.019240201483667674
152,20,50,True,0.006405878067016602,0.0006002902984619141,0.5973810360743732,0.35686410226129156,0.09843920523749801
153,20,50,False,0.005805253982543945,0.000600433349609375,0.6253311255105991,0.3910390165323526,0.016089912918536165
154,20,100,True,0.005404901504516601,0.0004001617431640625,0.5973810360743732,0.35686410226129156,0.09843920523749801
155,20,100,False,0.005000543594360351,0.000600433349609375,0.6253311255105991,0.3910390165323526,0.016089912918536165
156,20,500,True,0.005804443359375,0.0006008148193359375,0.5973810360743732,0.35686410226129156,0.09843920523749801
157,20,500,False,0.005404996871948242,0.0008008003234863282,0.6253311255105991,0.3910390165323526,0.016089912918536165
158,20,1000,True,0.005204248428344727,0.00040044784545898435,0.5973810360743732,0.35686410226129156,0.09843920523749801
159,20,1000,False,0.005004405975341797,0.0002002716064453125,0.6253311255105991,0.3910390165323526,0.016089912918536165
160,21,50,True,0.006205463409423828,0.00040035247802734376,0.5845903093041016,0.3417458297322652,0.13562885726918988
161,21,50,False,0.005004692077636719,0.0010007381439208984,0.6051558711817708,0.366213628425768,0.07633092708683656
162,21,100,True,0.005604743957519531,0.0008008956909179687,0.5845903093041016,0.3417458297322652,0.13562885726918988
163,21,100,False,0.006806755065917968,0.0006008148193359375,0.6051558711817708,0.366213628425768,0.07633092708683656
164,21,500,True,0.006006050109863281,0.0005999565124511719,0.5845903093041016,0.3417458297322652,0.13562885726918988
165,21,500,False,0.0050046443939208984,0.0006005287170410157,0.6051558711817708,0.366213628425768,0.07633092708683656
166,21,1000,True,0.005203056335449219,0.0004002571105957031,0.5845903093041016,0.3417458297322652,0.13562885726918988
167,21,1000,False,0.005204057693481446,0.0006005287170410157,0.6051558711817708,0.366213628425768,0.07633092708683656
168,22,50,True,0.006205272674560547,0.00020008087158203126,0.5975749185533898,0.35709578328409053,0.09850276823911996
169,22,50,False,0.005604267120361328,0.0006005764007568359,0.6221357829717434,0.3870529324538643,0.02493795042685727
170,22,100,True,0.008211946487426758,0.00019998550415039061,0.5975749185533898,0.35709578328409053,0.09850276823911996
171,22,100,False,0.005403327941894531,0.0006006717681884766,0.6221357829717434,0.3870529324538643,0.02493795042685727
172,22,500,True,0.005604219436645508,0.0008009910583496094,0.5975749185533898,0.35709578328409053,0.09850276823911996
173,22,500,False,0.005604219436645508,0.0006006717681884766,0.6221357829717434,0.3870529324538643,0.02493795042685727
174,22,1000,True,0.006605386734008789,0.0006007194519042969,0.5975749185533898,0.35709578328409053,0.09850276823911996
175,22,1000,False,0.00520472526550293,0.00040044784545898435,0.6221357829717434,0.3870529324538643,0.02493795042685727
176,23,50,True,0.006005239486694336,0.00020012855529785156,0.62533053657035,0.39103827996736185,0.0157490058081994
